Age,Gender,City,Education_Level,Income,J_ds,Grade,churn,inc_rating,t_b_v,income_increase,Reporting_year,Reporting_moth,Reporting_day,Dofj_year,Dofj_moth,Dofj_day
28.0,0.0,23,2,57387,1,1,1,0,571860.0,0,2019,3,1,2018,12,24
31.0,0.0,23,2,67016,2,2,0,0,0.0,0,2020,12,1,2020,6,11
43.0,0.0,7,2,65603,2,2,1,0,70000.0,0,2020,4,1,2019,7,12
29.0,0.0,13,0,46368,1,1,1,0,40120.0,0,2019,3,1,2019,9,1
31.0,1.0,13,1,78728,3,3,0,1,253000.0,0,2020,12,1,2020,7,31
34.0,0.0,13,0,70656,3,3,1,0,0.0,0,2020,11,1,2020,9,19
28.0,1.0,9,2,42172,1,1,0,0,0.0,0,2020,12,1,2020,7,12
35.0,0.0,9,2,28116,1,1,1,0,434530.0,0,2019,12,1,2019,6,29
31.0,0.0,11,2,119227,1,4,1,0,444045.22,0,2020,11,1,2015,5,28
39.0,1.0,11,0,19734,3,3,0,0,0.0,0,2020,12,1,2020,10,16
30.0,1.0,11,0,52963,2,2,1,0,173400.0,0,2019,2,1,2018,11,30
43.0,0.0,11,2,51099,1,1,1,0,145377.14,0,2019,7,1,2018,6,3
27.0,1.0,2,1,31631,1,1,1,0,0.0,0,2019,5,1,2019,9,1
42.2,1.0,2,0,40342,3,3,1,0,0.0,0,2020,3,1,2019,10,25
34.0,1.0,19,1,22755,1,1,1,0,497325.0,0,2020,2,1,2018,12,5
41.0,0.0,23,2,31224,1,1,1,0,471218.12,0,2020,4,1,2018,5,25
31.0,0.0,23,2,76308,1,2,1,0,410172.0,0,2019,10,1,2018,5,25
31.0,0.0,23,1,102077,1,3,0,1,1514629.58,0,2020,12,1,2017,10,30
43.0,0.0,23,2,132577,1,4,0,0,2911162.5,1,2020,12,1,2018,7,5
30.0,0.0,19,2,30312,1,1,1,0,254634.0,0,2019,5,1,2018,5,20
31.0,0.0,19,1,69457,3,3,1,0,0.0,0,2019,12,1,2019,3,10
32.0,1.0,19,2,65189,3,3,0,1,158490.0,0,2020,12,1,2020,4,7
28.0,1.0,19,1,65813,2,2,1,0,119002.5,0,2020,11,1,2020,7,31
32.0,0.0,19,1,68070,3,3,1,0,100000.0,0,2020,5,1,2020,7,3
41.0,1.0,19,1,32865,2,2,1,0,305552.14,0,2020,8,1,2019,1,7
33.0,1.0,19,1,57375,2,2,1,0,108336.67,0,2020,10,1,2020,5,16
22.0,0.0,19,0,13427,1,1,1,0,0.0,0,2020,3,1,2019,6,12
32.0,0.0,19,0,72888,2,2,0,0,484446.0,0,2020,12,1,2020,8,8
32.0,0.0,19,0,59182,2,2,1,0,0.0,0,2020,2,1,2019,8,11
35.0,0.0,19,2,92372,4,4,0,1,1208661.67,0,2020,12,1,2019,4,7
44.0,1.0,19,0,45988,2,2,1,0,198938.0,0,2019,5,1,2018,10,20
27.0,1.0,19,0,12906,1,1,1,0,179945.0,0,2019,2,1,2018,7,13
28.0,0.0,19,2,62100,1,1,1,0,50036.67,0,2020,11,1,2020,9,25
35.0,0.0,19,2,77544,3,3,0,1,746762.86,0,2020,12,1,2020,5,29
36.0,1.0,19,2,42171,1,1,1,0,112763.33,0,2019,3,1,2018,10,28
30.0,0.0,19,1,28000,1,1,0,0,288756.67,0,2020,12,1,2020,9,10
29.2,0.0,19,0,53039,1,2,1,0,138369.23,0,2020,1,1,2018,5,25
49.0,1.0,19,0,89367,3,3,1,0,55155.0,0,2019,2,1,2018,11,20
34.0,0.0,26,0,131347,4,4,1,1,319001.0,0,2019,12,1,2017,5,22
37.0,0.0,26,0,48687,3,3,0,1,308765.0,0,2020,12,1,2020,6,28
35.0,0.0,23,1,127826,4,5,0,0,1879071.67,1,2020,12,1,2019,11,7
30.0,1.0,23,0,29985,1,1,1,0,0.0,0,2020,3,1,2019,11,21
36.0,1.0,20,2,80223,1,1,0,1,488477.92,0,2020,12,1,2018,7,20
38.0,1.0,20,1,84318,1,2,1,0,1199542.63,0,2020,7,1,2017,7,26
41.0,0.0,20,0,57987,2,2,1,0,0.0,0,2019,1,1,2018,10,15
35.0,1.0,20,1,31644,1,1,1,0,44886.67,0,2019,3,1,2019,6,1
48.0,1.0,20,0,89592,1,4,0,0,2051063.33,1,2020,12,1,2016,9,17
32.0,0.0,20,2,19818,1,1,1,0,-146433.33,0,2019,3,1,2018,4,5
27.0,0.0,20,2,62376,1,1,0,0,0.0,0,2020,12,1,2020,11,28
29.2,0.0,17,0,93931,1,3,0,1,512213.33,0,2020,12,1,2016,4,30
33.0,0.0,17,2,66502,2,2,1,0,38788.0,0,2020,6,1,2020,1,31
30.0,1.0,17,1,69539,2,2,1,0,651032.22,0,2020,6,1,2018,7,31
27.0,1.0,17,2,104286,3,3,0,0,0.0,0,2020,2,1,2020,1,21
41.0,0.0,17,2,65982,1,2,0,1,522645.83,0,2020,12,1,2019,4,1
32.0,0.0,19,0,79288,1,3,0,0,1137909.17,0,2020,12,1,2015,10,18
42.2,1.0,19,1,64604,2,2,1,0,421825.45,0,2020,9,1,2019,11,14
35.0,0.0,19,1,19235,1,1,1,0,0.0,0,2019,1,1,2018,8,10
43.0,0.0,19,2,54103,3,3,1,0,94390.0,0,2019,2,1,2018,5,25
28.0,0.0,19,2,42242,2,2,0,0,64526.67,0,2020,12,1,2020,10,18
35.0,1.0,29,2,59216,2,2,1,0,98711.67,0,2020,10,1,2020,1,5
25.0,1.0,29,2,39884,2,2,1,0,394321.67,0,2020,12,1,2020,7,21
34.0,0.0,29,2,63918,1,2,0,1,748330.0,0,2020,12,1,2018,5,18
37.0,0.0,29,0,105946,2,4,0,0,1813812.92,0,2020,12,1,2018,9,16
32.0,0.0,29,1,114648,4,4,1,0,0.0,0,2019,8,1,2019,9,7
29.0,1.0,29,0,56687,2,2,0,0,51100.0,0,2020,12,1,2020,2,10
39.0,0.0,29,2,77177,1,2,1,0,313368.0,0,2019,10,1,2018,12,6
37.0,1.0,29,1,89013,3,3,1,0,0.0,0,2020,8,1,2020,11,4
34.0,0.0,29,2,115159,3,3,1,0,75000.0,0,2020,6,1,2019,8,29
42.0,0.0,29,0,25950,1,1,1,1,579201.33,0,2020,9,1,2019,4,7
25.0,0.0,29,2,49509,1,1,0,0,0.0,0,2020,12,1,2020,9,28
35.0,0.0,29,2,49510,1,1,1,0,0.0,0,2019,1,1,2018,5,28
37.0,0.0,29,1,119341,3,3,0,1,2251826.25,0,2020,12,1,2019,8,31
45.0,1.0,10,0,62298,2,2,1,0,541478.33,0,2019,6,1,2018,6,1
28.0,0.0,10,1,58977,2,2,1,0,408762.0,0,2020,8,1,2019,5,30
33.0,0.0,10,0,29408,2,2,1,0,108728.0,0,2020,3,1,2019,11,11
31.0,0.0,10,0,22731,2,2,1,0,40000.0,0,2019,12,1,2019,3,8
30.0,0.0,10,2,39527,2,2,1,0,610060.0,0,2019,2,1,2018,7,14
29.0,1.0,10,2,60874,3,3,1,0,0.0,0,2020,3,1,2020,1,30
35.0,0.0,10,2,64953,3,3,1,0,0.0,0,2020,11,1,2020,7,17
40.0,1.0,10,2,80771,3,3,0,0,116666.67,0,2020,12,1,2020,3,10
25.0,0.0,10,0,63774,2,3,1,0,1259731.76,1,2020,12,1,2019,8,15
30.0,0.0,10,0,38068,2,2,1,0,0.0,0,2020,8,1,2020,3,24
33.0,0.0,10,0,38945,1,1,1,0,351968.0,0,2019,5,1,2017,3,12
22.0,1.0,10,0,42270,1,1,1,0,0.0,0,2019,3,1,2019,5,1
42.2,1.0,10,1,68913,2,2,1,0,68047.5,0,2020,7,1,2019,11,30
30.0,1.0,24,1,60332,2,2,0,1,250464.0,0,2020,12,1,2020,8,16
38.0,0.0,24,0,67931,1,1,1,0,0.0,0,2019,1,1,2018,9,18
34.0,1.0,24,0,57671,1,3,1,0,563110.0,0,2019,8,1,2016,5,27
35.0,0.0,24,2,102142,3,3,1,0,378787.5,0,2020,11,1,2019,12,12
38.0,0.0,24,2,121259,3,3,1,0,144058.33,0,2020,6,1,2020,9,1
36.0,1.0,24,0,33927,1,1,0,1,214213.33,0,2020,12,1,2020,4,14
32.0,1.0,24,1,32663,1,1,1,0,41968.33,0,2020,2,1,2019,9,19
52.0,0.0,24,1,73769,2,3,1,0,240871.11,0,2019,9,1,2016,12,13
46.0,0.0,24,1,50466,1,1,0,0,546727.92,0,2020,12,1,2018,6,30
42.0,1.0,24,0,47160,1,1,1,0,134088.0,0,2019,10,1,2019,6,23
32.0,1.0,24,0,89456,3,3,0,0,0.0,0,2020,12,1,2020,9,28
46.0,0.0,24,1,31752,1,3,0,0,528122.5,0,2020,12,1,2015,7,23
22.0,0.0,24,0,16477,1,1,1,0,124110.0,0,2019,9,1,2018,4,12
47.0,1.0,24,1,144978,1,5,0,0,1673030.0,0,2020,12,1,2016,1,28
42.0,1.0,24,0,67904,3,3,1,0,21528.57,0,2020,9,1,2020,10,3
32.0,1.0,24,1,71000,3,3,1,0,111544.0,0,2020,3,1,2019,11,16
29.2,0.0,24,2,114258,3,3,1,0,0.0,0,2020,4,1,2019,9,28
33.0,1.0,24,2,58885,3,3,1,0,0.0,0,2020,5,1,2020,7,3
27.0,0.0,24,0,57406,2,2,0,1,121152.0,0,2020,12,1,2020,7,8
44.0,0.0,24,1,41401,1,1,1,0,242684.44,0,2019,9,1,2018,7,10
33.0,1.0,24,2,30847,1,1,1,0,174540.0,0,2019,7,1,2018,7,29
33.0,0.0,24,1,84085,3,3,1,0,-23333.33,0,2019,3,1,2018,4,5
38.0,1.0,24,1,60708,2,2,0,0,72698.33,0,2020,12,1,2020,11,7
38.0,0.0,24,1,39990,2,2,1,0,366088.75,0,2020,8,1,2020,1,17
38.0,1.0,24,1,79086,2,3,1,0,238214.55,0,2019,11,1,2013,10,21
27.0,0.0,24,2,43165,2,2,1,0,0.0,0,2020,7,1,2020,1,5
44.0,1.0,24,2,46858,1,1,1,0,174622.0,0,2019,5,1,2018,7,30
32.0,0.0,24,0,76904,3,3,0,0,63516.67,0,2020,12,1,2020,12,10
28.0,0.0,24,0,98877,3,3,0,1,379420.0,0,2020,12,1,2020,9,15
37.0,1.0,24,0,47009,1,1,1,0,0.0,0,2019,1,1,2018,2,10
42.0,0.0,24,0,33459,2,2,0,1,938581.43,0,2020,12,1,2020,5,6
48.0,0.0,14,2,34827,1,1,1,0,0.0,0,2019,1,1,2018,1,26
32.0,0.0,14,1,51850,2,2,1,0,0.0,0,2019,12,1,2019,10,31
38.0,0.0,14,1,72253,1,2,0,0,580830.83,0,2020,12,1,2016,4,29
35.0,0.0,14,1,65901,2,2,1,0,0.0,0,2020,11,1,2020,10,7
24.0,0.0,14,1,29807,1,1,1,0,61020.0,0,2019,2,1,2018,10,6
40.0,0.0,14,2,24150,1,1,1,0,113520.0,0,2019,3,1,2018,1,5
27.0,0.0,14,2,21933,1,1,1,0,0.0,0,2019,11,1,2019,8,19
35.0,0.0,14,1,75112,3,3,1,1,369456.0,0,2020,6,1,2020,2,13
36.0,0.0,14,1,85172,2,2,1,0,0.0,0,2019,10,1,2019,7,20
41.0,0.0,14,0,45288,2,2,0,0,0.0,0,2020,12,1,2020,11,12
34.0,1.0,14,0,61913,3,3,1,0,0.0,0,2020,7,1,2020,4,17
39.0,0.0,14,0,29013,1,3,0,1,1011395.0,0,2020,12,1,2016,4,22
30.0,0.0,14,0,89602,4,4,1,0,190034.0,0,2020,1,1,2019,9,15
31.0,0.0,14,0,31547,1,2,1,1,236620.0,0,2019,6,1,2018,3,6
38.0,1.0,14,1,148588,5,5,1,0,133890.91,0,2019,11,1,2018,10,14
30.0,0.0,14,1,47211,1,1,1,0,0.0,0,2020,10,1,2020,3,7
27.0,0.0,14,1,118363,2,3,1,0,801190.0,0,2019,2,1,2017,10,9
41.0,1.0,14,1,41046,1,1,1,0,0.0,0,2019,3,1,2018,1,7
26.0,0.0,14,1,45832,1,1,1,0,0.0,0,2020,9,1,2020,3,7
44.0,1.0,14,1,30121,1,1,1,0,448438.57,0,2020,2,1,2017,7,21
38.0,0.0,14,2,35793,1,1,1,0,0.0,0,2019,4,1,2018,6,19
36.0,0.0,13,1,100064,3,3,1,0,0.0,0,2020,1,1,2019,10,31
29.0,0.0,13,0,25731,1,1,1,0,0.0,0,2020,9,1,2020,8,5
37.0,1.0,13,0,106171,1,4,1,0,577513.89,0,2020,11,1,2019,6,17
25.0,1.0,13,2,76307,2,2,1,0,0.0,0,2019,1,1,2018,10,16
29.2,0.0,6,1,35283,1,1,1,0,230924.0,0,2019,5,1,2018,2,3
26.0,0.0,6,2,33057,2,2,0,0,805838.0,0,2020,12,1,2019,7,10
34.0,0.0,6,2,38409,2,2,1,0,436613.33,0,2019,12,1,2018,1,5
35.0,0.0,28,2,91458,3,3,1,0,397536.0,0,2019,11,1,2019,4,7
44.0,1.0,28,1,56242,2,2,1,0,495168.57,0,2019,7,1,2018,8,24
41.0,1.0,28,2,101395,2,3,1,0,766550.0,0,2019,7,1,2017,7,11
39.0,0.0,28,0,56174,1,3,0,1,827762.08,0,2020,12,1,2014,6,13
39.0,1.0,28,1,22065,1,1,1,0,594100.0,0,2019,5,1,2018,7,27
31.0,0.0,28,0,27889,1,1,1,0,3916.0,0,2019,5,1,2018,9,22
